Id_hp,Nama_hp,Brand,Harga,Ram,Memori_internal,Ukuran_layar,Resolusi_kamera,Kapasitas_baterai,Os,Rating_pengguna,Tahun_rilis,Stok_tersedia
1,Apple Max 10,Apple,15015201,12,256,5.5,48,4000,iOS,2.4,1905,True
2,Apple Max 11,Apple,18727456,4,512,6.1,108,5000,iOS,4.4,2020,False
3,Apple Max 14,Apple,6526745,16,128,6.8,108,4000,iOS,4.1,2024,True
4,Apple Max 16,Apple,13673821,16,256,6.1,12,4000,iOS,4.6,2024,True
5,Apple Max 16,Apple,14212345,4,256,6.5,12,4500,iOS,4.4,2019,True
6,Apple Max 16,Apple,2295326,12,64,6.8,108,6000,iOS,5.0,2023,False
7,Apple Max 18,Apple,10540534,6,256,6.8,48,4000,iOS,3.6,2023,False
8,Apple Max 20,Apple,22889361,16,256,5.5,64,4000,iOS,3.7,2022,True
9,Apple Max 22,Apple,5677986,12,256,6.1,12,4500,iOS,3.4,2020,True
10,Apple Max 22,Apple,5102004,12,512,6.7,108,6000,iOS,3.0,2020,False
11,Apple Max 22,Apple,13155180,4,256,6.7,50,4000,iOS,1.7,2021,False
12,Apple Max 24,Apple,2427121,12,128,6.1,108,4500,iOS,1.7,2020,True
13,Apple Max 25,Apple,5585970,8,512,6.7,48,6000,iOS,4.0,2022,True
14,Apple Max 26,Apple,15409424,6,256,6.8,12,4000,iOS,4.2,2020,False
15,Apple Max 26,Apple,8469482,16,256,5.5,50,4500,iOS,1.5,2020,False
16,Apple Max 26,Apple,4084823,8,512,6.5,64,4000,iOS,3.0,2020,True
17,Apple Max 27,Apple,14366350,16,64,6.1,48,4000,iOS,2.3,2021,False
18,Apple Max 28,Apple,1825074,6,64,6.1,108,6000,iOS,1.7,2022,False
19,Apple Max 28,Apple,8449640,6,128,5.5,12,4000,iOS,3.3,2023,True
20,Apple Max 29,Apple,3402718,4,128,6.7,12,6000,iOS,1.6,2019,True
21,Apple Max 30,Apple,10411362,6,256,5.5,48,4000,iOS,2.8,2019,False
22,Apple Max 5,Apple,15442469,16,256,5.5,64,4000,iOS,4.4,2020,False
23,Apple Max 5,Apple,17123941,16,128,6.4,50,4000,iOS,4.8,2019,True
24,Apple Max 5,Apple,20254986,6,128,6.1,50,4500,iOS,1.4,2021,False
25,Apple Max 5,Apple,9280860,6,256,6.8,50,4500,iOS,1.5,2023,True
26,Apple Max 5,Apple,9555500,12,256,6.8,48,6000,iOS,4.8,2019,True
27,Apple Max 9,Apple,12141033,6,256,6.5,50,4000,iOS,2.5,2022,False
28,Apple Max 9,Apple,5883702,12,512,6.5,48,4000,iOS,2.1,2023,False
29,Apple Note 10,Apple,20053217,4,128,5.5,12,6000,iOS,1.2,2019,True
30,Apple Note 11,Apple,21383588,6,256,6.8,12,5000,iOS,3.2,2023,True
31,Apple Note 12,Apple,10016953,12,512,6.5,48,6000,iOS,4.9,2019,False
32,Apple Note 12,Apple,11403512,4,128,6.7,50,4500,iOS,1.2,2021,False
33,Apple Note 13,Apple,2227853,8,512,6.7,108,4500,iOS,4.6,2020,False
34,Apple Note 17,Apple,21438073,12,64,6.1,64,6000,iOS,1.2,2020,False
35,Apple Note 17,Apple,3170962,16,512,6.5,12,4000,iOS,2.6,2024,True
36,Apple Note 17,Apple,18937176,12,512,6.7,64,6000,iOS,2.6,2023,False
37,Apple Note 18,Apple,7876796,16,512,6.8,12,5000,iOS,1.9,2020,True
38,Apple Note 19,Apple,20594805,12,64,6.4,108,4000,iOS,1.5,2024,False
39,Apple Note 21,Apple,15024026,16,128,6.7,64,5000,iOS,3.3,2023,False
40,Apple Note 21,Apple,19425846,6,64,6.4,48,4500,iOS,1.6,2022,True
41,Apple Note 23,Apple,24700285,6,64,6.8,12,4500,iOS,4.1,2021,False
42,Apple Note 23,Apple,24469837,8,64,6.1,50,4500,iOS,3.2,2022,True
43,Apple Note 27,Apple,16924171,16,128,6.1,108,4000,iOS,2.0,2019,False
44,Apple Note 30,Apple,9539529,16,512,6.5,12,6000,iOS,4.1,2021,True
45,Apple Note 30,Apple,13864284,4,512,6.8,108,4500,iOS,1.6,2021,True
46,Apple Note 5,Apple,8106752,16,256,6.5,50,4000,iOS,3.4,2021,False
47,Apple Note 6,Apple,7653125,4,128,6.5,108,5000,iOS,2.5,2023,True
48,Apple Note 9,Apple,23125022,16,64,6.5,108,4000,iOS,2.1,2021,False
49,Apple Pro 10,Apple,6667904,4,128,6.5,48,4000,iOS,3.4,2024,False
50,Apple Pro 11,Apple,10444980,4,64,6.8,48,4500,iOS,2.3,2022,False
51,Apple Pro 15,Apple,3112708,4,256,6.1,64,6000,iOS,4.4,2019,True
52,Apple Pro 16,Apple,4620844,4,512,6.7,48,4000,iOS,1.5,2022,True
53,Apple Pro 16,Apple,23054554,8,512,6.1,12,5000,iOS,2.6,2020,True
54,Apple Pro 18,Apple,8625080,12,256,6.4,108,6000,iOS,1.5,2023,True
55,Apple Pro 20,Apple,22908533,6,256,6.1,108,6000,iOS,3.3,2021,False
56,Apple Pro 21,Apple,8139005,6,512,5.5,64,5000,iOS,1.6,2023,False
57,Apple Pro 23,Apple,4023723,4,64,6.8,108,6000,iOS,2.7,2021,False
58,Apple Pro 23,Apple,21233299,12,128,6.4,108,4000,iOS,3.3,2020,False
59,Apple Pro 23,Apple,24970582,12,256,6.7,108,4000,iOS,3.4,2019,True
60,Apple Pro 24,Apple,4981548,4,256,6.4,50,4000,iOS,4.9,2023,False
61,Apple Pro 26,Apple,23786395,6,512,6.7,64,4000,iOS,4.2,2019,False
62,Apple Pro 26,Apple,7115864,4,512,6.5,48,6000,iOS,1.5,2021,False
63,Apple Pro 26,Apple,15426385,4,512,6.4,108,6000,iOS,2.5,2019,True
64,Apple Pro 26,Apple,12127511,12,512,6.4,12,6000,iOS,2.9,2019,True
65,Apple Pro 28,Apple,16091014,12,256,6.8,108,5000,iOS,3.7,2023,True
66,Apple Pro 29,Apple,20266284,12,128,6.8,108,6000,iOS,1.3,2019,False
67,Apple Pro 29,Apple,6096770,6,512,6.5,64,4000,iOS,1.7,2022,False
68,Apple Pro 30,Apple,11798468,6,512,6.5,50,6000,iOS,2.6,2024,True
69,Apple Pro 6,Apple,23381908,8,256,6.4,48,4000,iOS,4.0,2020,True
70,Apple Pro 7,Apple,10794912,6,128,5.5,108,6000,iOS,1.9,2020,True
71,Apple Ultra 10,Apple,14193353,16,512,6.8,48,4000,iOS,3.2,2021,False
72,Apple Ultra 10,Apple,13824991,12,256,6.4,12,5000,iOS,3.5,2022,False
73,Apple Ultra 11,Apple,6943201,8,128,6.1,64,6000,iOS,2.0,2022,False
74,Apple Ultra 12,Apple,1640837,8,256,6.1,108,5000,iOS,3.0,2021,True
75,Apple Ultra 12,Apple,3955206,6,64,6.1,108,5000,iOS,2.5,2023,False
76,Apple Ultra 13,Apple,11449582,4,64,6.7,12,5000,iOS,1.8,2022,True
77,Apple Ultra 14,Apple,12717545,4,64,6.1,64,6000,iOS,2.3,2019,True
78,Apple Ultra 14,Apple,20525361,16,256,5.5,48,6000,iOS,3.6,2022,False
79,Apple Ultra 17,Apple,5641772,6,64,6.7,48,6000,iOS,4.2,2020,False
80,Apple Ultra 17,Apple,3195589,12,64,6.7,108,4500,iOS,4.5,2019,False
81,Apple Ultra 18,Apple,17844033,6,64,6.8,12,5000,iOS,1.3,2023,True
82,Apple Ultra 18,Apple,14163933,4,128,6.1,108,5000,iOS,4.5,2024,False
83,Apple Ultra 18,Apple,7495284,12,256,6.1,108,4500,iOS,4.4,2019,False
84,Apple Ultra 19,Apple,18328430,6,64,5.5,108,6000,iOS,1.9,2024,False
85,Apple Ultra 19,Apple,16876410,12,512,6.5,12,4000,iOS,1.7,2023,True
86,Apple Ultra 19,Apple,6072521,8,64,6.5,48,5000,iOS,3.0,2024,False
87,Apple Ultra 20,Apple,4937180,4,64,6.5,48,4000,iOS,2.8,2020,False
88,Apple Ultra 25,Apple,10282576,6,512,6.8,48,4500,iOS,2.0,2022,True
89,Apple Ultra 25,Apple,23567108,12,512,5.5,108,4500,iOS,4.5,2019,False
90,Apple Ultra 25,Apple,18749053,12,256,5.5,108,6000,iOS,4.2,2019,False
91,Apple Ultra 27,Apple,8204432,16,512,6.7,12,5000,iOS,1.9,2020,False
92,Apple Ultra 27,Apple,6860716,16,256,6.1,108,4500,iOS,1.3,2024,False
93,Apple Ultra 28,Apple,21198658,8,64,6.4,12,4500,iOS,1.3,2019,True
94,Apple Ultra 6,Apple,2908243,12,256,5.5,12,4000,iOS,3.6,2024,True
95,Apple Ultra 8,Apple,19208177,4,512,6.8,64,6000,iOS,2.5,2024,False
96,Apple Ultra 9,Apple,19607857,8,256,5.5,64,5000,iOS,2.2,2020,True
97,Asus Max 10,Asus,8958779,6,256,5.5,50,5000,Android,2.7,2020,False
98,Asus Max 10,Asus,3889741,12,512,6.1,48,5000,Android,3.2,2022,True
99,Asus Max 13,Asus,19945806,8,256,6.4,108,4000,Android,1.1,2023,True
100,Asus Max 13,Asus,8002176,6,128,6.7,108,4000,Android,4.0,2019,True
101,Asus Max 14,Asus,24416327,8,128,6.4,108,4500,Android,1.3,2021,True
102,Asus Max 14,Asus,20561462,12,512,6.5,64,4000,Android,4.3,2024,False
103,Asus Max 14,Asus,7832381,12,512,6.4,108,5000,Android,2.7,2023,False
104,Asus Max 15,Asus,11140337,16,512,6.5,12,4000,Android,4.2,2022,False
105,Asus Max 17,Asus,7322020,16,256,6.7,108,4500,Android,3.3,2022,True
106,Asus Max 17,Asus,8868509,4,512,6.4,48,4500,Android,2.1,2023,True
107,Asus Max 18,Asus,6433219,4,512,6.7,50,4000,Android,2.3,2023,True
108,Asus Max 20,Asus,24582307,6,128,6.5,12,4500,Android,1.1,2020,False
109,Asus Max 21,Asus,16332991,8,512,5.5,64,6000,Android,3.7,2023,False
110,Asus Max 23,Asus,18395227,4,128,6.4,12,5000,Android,3.3,2020,False
111,Asus Max 23,Asus,15531434,4,512,6.8,50,5000,Android,2.5,2020,True
112,Asus Max 24,Asus,6967591,16,512,6.1,108,6000,Android,2.9,2020,False
113,Asus Max 26,Asus,17959493,4,256,6.4,50,5000,Android,2.2,2022,False
114,Asus Max 28,Asus,17543754,12,64,6.4,12,4000,Android,1.0,2020,True
115,Asus Max 29,Asus,10698492,16,512,6.7,50,5000,Android,2.2,2024,True
116,Asus Max 29,Asus,4333907,12,64,6.5,50,5000,Android,2.0,2023,True
117,Asus Max 30,Asus,17589896,6,64,6.7,48,4500,Android,4.5,2024,False
118,Asus Max 30,Asus,7866160,8,512,6.4,12,4500,Android,3.8,2020,False
119,Asus Max 5,Asus,19179698,12,256,6.4,50,5000,Android,1.3,2024,False
120,Asus Max 6,Asus,14180257,8,256,6.4,50,4500,Android,3.7,2019,True
121,Asus Max 7,Asus,16258773,4,64,6.1,12,6000,Android,2.9,2024,True
122,Asus Max 8,Asus,10383320,16,256,6.8,50,5000,Android,4.4,2020,True
123,Asus Max 8,Asus,6152007,8,64,6.8,48,6000,Android,4.4,2023,True
124,Asus Max 9,Asus,22902608,16,256,6.1,64,4000,Android,2.9,2021,False
125,Asus Max 9,Asus,20334530,6,512,6.4,50,5000,Android,4.9,2019,False
126,Asus Max 9,Asus,4438166,12,128,5.5,12,6000,Android,3.3,2023,False
127,Asus Max 9,Asus,8838953,16,128,6.4,48,4500,Android,1.4,2020,False
128,Asus Note 11,Asus,22055924,6,64,6.1,108,4500,Android,1.8,2022,True
129,Asus Note 12,Asus,7273202,4,64,6.1,50,4000,Android,1.5,2023,True
130,Asus Note 12,Asus,4655928,16,128,6.5,12,4500,Android,4.1,2023,False
131,Asus Note 13,Asus,23768423,8,64,5.5,50,4000,Android,2.5,2020,True
132,Asus Note 14,Asus,13563255,8,256,6.1,64,4500,Android,4.6,2022,True
133,Asus Note 14,Asus,11846718,6,128,6.4,64,4000,Android,4.9,2020,True
134,Asus Note 15,Asus,8042556,16,256,6.1,108,4000,Android,4.4,2022,True
135,Asus Note 16,Asus,2387778,4,256,6.1,50,4500,Android,3.3,2020,True
136,Asus Note 16,Asus,17504991,4,64,5.5,50,5000,Android,1.3,2019,False
137,Asus Note 17,Asus,13228493,16,64,5.5,12,4000,Android,2.1,2023,True
138,Asus Note 18,Asus,19703490,16,64,6.8,12,4500,Android,4.3,2020,False
139,Asus Note 19,Asus,21723060,6,128,6.8,64,6000,Android,2.9,2021,False
140,Asus Note 19,Asus,7128044,12,64,5.5,108,6000,Android,1.2,2020,True
141,Asus Note 21,Asus,16614117,6,256,6.1,50,4500,Android,3.0,2022,True
142,Asus Note 23,Asus,13093582,16,256,6.5,12,4000,Android,2.8,2023,True
143,Asus Note 23,Asus,6674769,12,128,6.5,108,5000,Android,3.5,2022,False
144,Asus Note 24,Asus,10813650,12,128,6.4,12,5000,Android,3.9,2021,True
